_input,_num,_widgetName,_source,_resultNumber,_pageUrl,column_1_number,column_2,column_3,column_4_number,column_4,column_5_number,column_6,column_7
webpage/url:http://msn.foxsports.com/collegefootball/team/miami-(fl)-hurricanes-football/roster/86056?q=miami-(fl)-hurricanes-football|,547,RostersTake1,RostersTake1,82,http://msn.foxsports.com/collegefootball/team/miami-(fl)-hurricanes-football/roster/86056?q=miami-(fl)-hurricanes-football,72,Earl Moore,DL,6; 1,6'1",304,Jr,Tampa FL
webpage/url:http://msn.foxsports.com/collegefootball/team/florida-state-seminoles-football/roster/86043?q=florida-state-seminoles-football|,663,RostersTake1,RostersTake1,82,http://msn.foxsports.com/collegefootball/team/florida-state-seminoles-football/roster/86043?q=florida-state-seminoles-football,15,DeShawn Simpkins,WR,5; 10,5'10",170,Fr,Miami FL
webpage/url:http://msn.foxsports.com/collegefootball/team/louisville-cardinals-football/roster/86145?q=louisville-cardinals-football|,835,RostersTake1,RostersTake1,82,http://msn.foxsports.com/collegefootball/team/louisville-cardinals-football/roster/86145?q=louisville-cardinals-football,84,Gio Pascasio,WR,6; 3,6'3",185,So,Glendale AZ
webpage/url:http://msn.foxsports.com/collegefootball/team/georgia-tech-yellow-jackets-football/roster/86042?q=georgia-tech-yellow-jackets-football|,952,RostersTake1,RostersTake1,82,http://msn.foxsports.com/collegefootball/team/georgia-tech-yellow-jackets-football/roster/86042?q=georgia-tech-yellow-jackets-football,77,Thomas O'Reilly,OL,6; 3,6'3",308,Jr,Marietta GA
webpage/url:http://msn.foxsports.com/collegefootball/team/north-carolina-state-wolfpack-football/roster/86044?q=north-carolina-state-wolfpack-football|,1072,RostersTake1,RostersTake1,82,http://msn.foxsports.com/collegefootball/team/north-carolina-state-wolfpack-football/roster/86044?q=north-carolina-state-wolfpack-football,45,Artemis Robinson,LB,6; 1,6'1",210,Fr,Laurinburg NC
webpage/url:http://msn.foxsports.com/collegefootball/team/virginia-cavaliers-football/roster/86046?q=virginia-cavaliers-football|,1188,RostersTake1,RostersTake1,82,http://msn.foxsports.com/collegefootball/team/virginia-cavaliers-football/roster/86046?q=virginia-cavaliers-football,23,Khalek Shepherd,RB,5; 8,5'8",185,Sr,Upper Marlboro MD
webpage/url:http://msn.foxsports.com/collegefootball/team/pittsburgh-panthers-football/roster/86050?q=pittsburgh-panthers-football|,1289,RostersTake1,RostersTake1,82,http://msn.foxsports.com/collegefootball/team/pittsburgh-panthers-football/roster/86050?q=pittsburgh-panthers-football,52,Shakir Soto,DL,6; 3,6'3",270,So,Wilkes-Barre PA
webpage/url:http://msn.foxsports.com/collegefootball/team/wake-forest-demon-deacons-football/roster/86045?q=wake-forest-demon-deacons-football|,1384,RostersTake1,RostersTake1,82,http://msn.foxsports.com/collegefootball/team/wake-forest-demon-deacons-football/roster/86045?q=wake-forest-demon-deacons-football,25,Brad Watson,CB,6; 0,6'0",170,So,Round Rock TX
webpage/url:http://msn.foxsports.com/collegefootball/team/syracuse-orange-football/roster/86055?q=syracuse-orange-football|,1475,RostersTake1,RostersTake1,82,http://msn.foxsports.com/collegefootball/team/syracuse-orange-football/roster/86055?q=syracuse-orange-football,7,Oliver Vigille,LB,6; 2,6'2",220,Jr,Miami FL
webpage/url:http://msn.foxsports.com/collegefootball/team/north-carolina-tar-heels-football/roster/86047?q=north-carolina-tar-heels-football|,83,RostersTake1,RostersTake1,83,http://msn.foxsports.com/collegefootball/team/north-carolina-tar-heels-football/roster/86047?q=north-carolina-tar-heels-football,21,Romar Morris,RB,5; 10,5'10",185,So,Salisbury NC
webpage/url:http://msn.foxsports.com/collegefootball/team/duke-blue-devils-football/roster/86041?q=duke-blue-devils-football|,216,RostersTake1,RostersTake1,83,http://msn.foxsports.com/collegefootball/team/duke-blue-devils-football/roster/86041?q=duke-blue-devils-football,65,Cody Robinson,G,6; 3,6'3",295,Jr,McMinnville TN
webpage/url:http://msn.foxsports.com/collegefootball/team/clemson-tigers-football/roster/86040?q=clemson-tigers-football|,327,RostersTake1,RostersTake1,83,http://msn.foxsports.com/collegefootball/team/clemson-tigers-football/roster/86040?q=clemson-tigers-football,48,D.J. Reader,DT,6; 2,6'2",325,Jr,Greensboro NC
webpage/url:http://msn.foxsports.com/collegefootball/team/virginia-tech-hokies-football/roster/86054?q=virginia-tech-hokies-football|,445,RostersTake1,RostersTake1,83,http://msn.foxsports.com/collegefootball/team/virginia-tech-hokies-football/roster/86054?q=virginia-tech-hokies-football,65,Joe St. Germain,LS,6; 0,6'0",220,Sr,Los Alamitos CA
webpage/url:http://msn.foxsports.com/collegefootball/team/miami-(fl)-hurricanes-football/roster/86056?q=miami-(fl)-hurricanes-football|,548,RostersTake1,RostersTake1,83,http://msn.foxsports.com/collegefootball/team/miami-(fl)-hurricanes-football/roster/86056?q=miami-(fl)-hurricanes-football,95,Anthony Moten,DL,6; 4,6'4",295,Fr,Ft. Lauderdale FL
webpage/url:http://msn.foxsports.com/collegefootball/team/florida-state-seminoles-football/roster/86043?q=florida-state-seminoles-football|,664,RostersTake1,RostersTake1,83,http://msn.foxsports.com/collegefootball/team/florida-state-seminoles-football/roster/86043?q=florida-state-seminoles-football,23,Je'Twan Smith,DB,5; 11,5'11",175,Jr,Plant City FL
webpage/url:http://msn.foxsports.com/collegefootball/team/louisville-cardinals-football/roster/86145?q=louisville-cardinals-football|,836,RostersTake1,RostersTake1,83,http://msn.foxsports.com/collegefootball/team/louisville-cardinals-football/roster/86145?q=louisville-cardinals-football,87,Cameron Polk,WR,6; 2,6'2",185,Fr,Fishers IN
