Position,Symbol
Center,C
Cornerback,CB
Defensive Back,DB
Defensive End,DE
Defensive Lineman,DL
Fullback,FB
Guard,G
Kicker,K
Linebacker,LB
Long Snapper,LS
Nose Tackle,NT
Offensive Lineman,OL
Punter,P
Quarterback,QB
Running Back,RB
Safety,S
Tackle,T
Tight End,TE
Wide Receiver,WR
