Team,Number,Name,Position,Height,Weight,Year,Hometown
UVA,54,Alex Foertsch,LS,"6'4""",230,Fr,Baltimore MD
GT,59,Kevin Robbins,DL,"6'4""",230,Fr,Forestville MD
PITT,37,Rori Blair,DL,"6'4""",230,Fr,Pittsburgh PA
GT,42,KeShun Freeman,DE,"6'4""",230,Fr,Hogansville GA
UNC,94,Dajaun Drennon,DE,"6'4""",230,Fr,Clementon NJ
UVA,7,Eli Harold,DE,"6'4""",230,Jr,Virginia Beach VA
NCSU,44,Devin O'Connor,TE,"6'3""",230,So,Cartersville GA
WAKE,49,Spencer Stone,TE,"6'3""",230,Fr,Richmond KY
WAKE,8,Kevin Sousa,QB,"6'3""",230,Jr,Orlando FL
PITT,28,Anthony Gonzalez,LB,"6'3""",230,Sr,Bethlehem PA
BC,30,Mike Strizak,LB,"6'2""",230,So,Fair Lawn NJ
DUKE,59,Kelby Brown,LB,"6'2""",230,Sr,Matthews NC
GT,51,Anthony Harrell,LB,"6'2""",230,Jr,Tampa FL
GT,46,Tremayne McNair,LB,"6'2""",230,Sr,Jacksonville NC
PITT,4,Bam Bradley,LB,"6'2""",230,So,Dayton OH
PITT,8,Todd Thomas,LB,"6'2""",230,Sr,Beaver Falls PA
UNC,9,Travis Hughes,LB,"6'2""",230,Sr,Virginia Beach VA
UNC,47,Dan Mastromatteo,LB,"6'2""",230,So,Absecon NJ
UVA,59,Mark Hall,LB,"6'2""",230,So,Virginia Beach VA
WAKE,37,Kevis Jones,LB,"6'2""",230,So,Oakland Park FL
CLEM,53,Martin Aiken,DE,"6'2""",230,So,Smoaks SC
CLEM,56,Collins Mauldin,TE,"6'1""",230,Jr,Rock Hill SC
CLEM,7,Tony Steward,LB,"6'1""",230,Sr,Hastings FL
UNC,52,Kemmi Pettway,LB,"6'1""",230,Fr,Charlotte NC
CUSE,31,Clay Cleveland,FB,"6'1""",230,Sr,Boxford MA
FSU,23,Freddie Stevenson,FB,"6'1""",230,So,Bartow FL
FSU,37,Brandyn Musgrave,TE,"6'0""",230,So,Port St. Lucie FL
BC,56,Michael Fischer,LS,"6'0""",230,So,Wellesley MA
UNC,70,Alex Marrs,LS,"6'0""",230,Jr,Bluefield VA
DUKE,54,C.J. France,LB,"6'0""",230,Sr,Columbus GA
DUKE,48,Deion Williams,LB,"6'0""",230,Jr,Long Beach CA
MIAMI,49,Ryan Williams,LB,"6'0""",230,Fr,Charlotte NC
WAKE,50,Grant Dawson,LB,"6'0""",230,Fr,Winston-Salem NC
WAKE,30,Hunter Williams,LB,"6'0""",230,Jr,Wake Forest NC
CLEM,10,Ben Boulware,LB,"5'11""",230,So,Anderson SC
CLEM,,Kendall Joseph,LB,"5'11""",230,Fr,Belton SC
CUSE,38,Cameron Lynch,LB,"5'11""",230,Sr,Lawrenceville GA
LOU,12,Brett Nelson,QB,"6'4""",231,Sr,Chula Vista CA
NCSU,4,Jerod Fernandez,LB,"6'1""",231,Fr,Lake Mary FL
GT,35,Tyler Marcordes,LB,"6'4""",232,Jr,Normal IL
LOU,54,Lyn Clark,LB,"6'2""",232,Fr,New Orleans LA
LOU,96,Henry Famurewa,LB,"6'2""",232,Fr,Powder Springs GA
GT,33,Beau Hankins,LB,"6'1""",232,So,Birmingham AL
GT,54,Quayshawn Nealy,LB,"6'1""",232,Sr,Lakeland FL
MIAMI,54,JaWand Blue,LB,"6'0""",232,So,Boca Raton FL
MIAMI,34,Thurston Armbrister,LB,"6'3""",233,Sr,Hollywood FL
FSU,52,Ukeme Eligwe,LB,"6'2""",233,Fr,Stone Mountain GA
NCSU,83,Lucas Wilson,TE,"6'5""",234,Fr,Winston-Salem NC
LOU,48,Deiontrez Mount,DE,"6'5""",234,Sr,Fort Walton Beach FL
CUSE,47,Sam Rodgers,LS,"6'2""",234,Sr,State College PA
VT,,Griffin Hite,FB,"5'11""",234,Jr,Blacksburg VA
UNC,86,Tyler Alberts,TE,"6'7""",235,So,Clemmons NC
CLEM,,Cannon Smith,TE,"6'5""",235,Fr,Columbia SC
NCSU,48,Cole Cook,TE,"6'5""",235,Fr,Carrollton GA
DUKE,86,Connor Peters,TE,"6'4""",235,Sr,Hamilton OH
FSU,5,Jameis Winston,QB,"6'4""",235,Fr,Hueytown AL
CLEM,51,Jim Brown,LS,"6'4""",235,Jr,Walterboro SC
DUKE,58,Michael Mann,DE,"6'4""",235,So,Castle Rock CO
LOU,91,Trevon Young,DE,"6'4""",235,So,Council Bluffs IA
CLEM,89,Jay Jay McCullough,TE,"6'3""",235,So,Fort Mill SC
CLEM,,Milan Richard,TE,"6'3""",235,Fr,Savannah GA
DUKE,57,Thomas Hennessy,LS,"6'3""",235,So,Bardonia NY
FSU,18,Ro'Derrick Hoskins,LB,"6'3""",235,Fr,Orlando FL
MIAMI,7,Gus Edwards,RB,"6'2""",235,So,Staten Island NY
WAKE,61,Ryan Bauder,LS,"6'2""",235,Jr,Fort Lauderdale FL
DUKE,44,Nick Hill,LB,"6'2""",235,Jr,Nashville TN
NCSU,33,Ty Linton,LB,"6'2""",235,Fr,Weddington NC
UNC,93,Robert Dinkins,DL,"6'2""",235,Fr,Charlotte NC
UNC,91,Jonathan Sugg,DL,"6'2""",235,Fr,Stokesdale NC
CLEM,3,Vic Beasley,DE,"6'2""",235,Sr,Adairsville GA
CLEM,44,B.J. Goodson,LB,"6'1""",235,Jr,Lamar SC
LOU,1,Keith Brown,LB,"6'1""",235,Jr,Miami FL
MIAMI,56,Raphael Kirby,LB,"6'1""",235,Jr,Stone Mountain GA
UVA,13,Daquan Romero,LB,"6'1""",235,Sr,Hampton VA
WAKE,44,Ben Emert,FB,"6'1""",235,Sr,Ball Ground GA
UNC,84,Ian Dibble,DL,"6'1""",235,So,Charlotte NC
CLEM,40,Kurt Fleming,RB,"6'0""",235,Fr,Louisa VA
GT,25,Tre' Jackson,LB,"5'10""",235,Fr,Valdosta GA
PITT,41,Anthony Rippole,FB,"5'10""",235,So,McKees Rocks PA
WAKE,43,Jordan Garside,FB,"5'10""",235,Sr,Jacksonville FL
NCSU,99,Joe Wright,DE,"6'7""",236,So,Greenville NC
CUSE,90,Cameron MacPherson,TE,"6'4""",236,Jr,Syracuse NY
NCSU,12,Jacoby Brissett,QB,"6'4""",236,Jr,West Palm Beach FL
NCSU,87,Pharoah McKever,DE,"6'6""",237,Fr,Tabor City NC
FSU,10,E.J. Levenberry,LB,"6'3""",237,So,Woodbridge VA
LOU,32,Stacy Thomas,DE,"6'1""",237,Fr,Miami FL
FSU,72,Barrett Kernon,LS,"6'4""",239,Jr,Ormond Beach FL
BC,57,Jack Cottrell,DL,"6'4""",239,Fr,Eden Prairie MN
DUKE,88,Erich Schneider,TE,"6'7""",240,So,Jacksonville Beach FL
CLEM,16,Jordan Leggett,TE,"6'5""",240,So,Navarre FL
DUKE,89,Braxton Deaver,TE,"6'5""",240,Sr,Charlotte NC
DUKE,90,Mario Sanders,LB,"6'5""",240,Jr,Lyman SC
UVA,88,Max Valles,LB,"6'5""",240,So,Moorestown NJ
CLEM,96,Fesser Bell,DE,"6'5""",240,Jr,Radford VA
CUSE,98,Trevon Trejo,DE,"6'5""",240,Sr,Long Beach CA
MIAMI,44,Demetrius Jackson,DE,"6'5""",240,Fr,Miami FL
CLEM,45,Chris Register,LB,"6'4""",240,Fr,Browns Summit NC
DUKE,55,Lucas Fisher,LB,"6'4""",240,Jr,Monroe NC
DUKE,47,David Helton,LB,"6'4""",240,Sr,Chattanooga TN
GT,39,Chaz Cheeks,LB,"6'4""",240,Jr,Gainesville GA
PITT,48,Zach Poker,LB,"6'4""",240,Fr,Oconomowoc WI
WAKE,62,Reid Althoff,G,"6'4""",240,Fr,Sarasota FL
GT,90,Justin Akins,DL,"6'4""",240,Fr,Jenkinsburg GA
PITT,96,Devin Cook,DL,"6'4""",240,Jr,Beaver Falls PA
DUKE,94,Jordan DeWalt-Ondijo,DE,"6'4""",240,Sr,Prairie View TX
NCSU,49,Bradley Chubb,DE,"6'4""",240,Fr,Powder Springs GA
CLEM,54,Zach Riggs,C,"6'4""",240,Fr,Greer SC
UNC,80,Jack Tabb,TE,"6'3""",240,Sr,Red Bank NJ
PITT,36,Michael Dunn,LB,"6'3""",240,Fr,Pittsburgh PA
NCSU,19,Maurice Morgan,WR,"6'2""",240,Jr,LaGrange GA
FSU,67,Cody Jay,OL,"6'2""",240,Sr,Ft. Walton Beach FL
UNC,61,Conor Fry,LS,"6'2""",240,So,Raleigh NC
DUKE,51,Dominic McDonald,LB,"6'2""",240,Fr,Longwood FL
LOU,42,Isaac Stewart,LB,"6'2""",240,Fr,Charlotte NC
MIAMI,51,Juwon Young,LB,"6'2""",240,Fr,Albany GA
PITT,51,Jacob Craig,LB,"6'2""",240,So,Berlin PA
UNC,33,Nathan Staub,LB,"6'2""",240,So,Buford GA
UVA,44,Henry Coley,LB,"6'2""",240,Sr,Virginia Beach VA
WAKE,35,Zachary Allen,LB,"6'2""",240,Sr,Pahokee FL
BC,36,Bobby Wolford,FB,"6'2""",240,So,Jacksonville FL
MIAMI,39,Ronald Regula,FB,"6'2""",240,Sr,Miami FL
PITT,44,David Durham,DL,"6'2""",240,Sr,Charlotte NC
WAKE,48,Brandon Chubb,LB,"6'1""",240,Jr,Marietta GA
FSU,44,Cameron Ponder,FB,"6'1""",240,Sr,Yulee FL
MIAMI,43,Tyler Odems,FB,"6'0""",240,So,Manassas VA
PITT,40,Colton Lively,FB,"6'0""",240,Fr,Lake Dallas TX
FSU,43,Ebo Entsuah,FB,"5'11""",240,Jr,Clermont FL
MIAMI,47,Raphael Akpejiori,TE,"6'9""",241,Sr,Lagos
VT,,Ryan Malleck,TE,"6'4""",241,Jr,Point Pleasant NJ
CUSE,5,Luke Arciniega,LB,"6'2""",241,Sr,Sparks NV
NCSU,48,Bryan Smith,LB,"6'2""",241,Fr,Oxford NC
CUSE,34,Adonis Ameen-Moore,RB,"5'11""",241,Sr,Denver CO
VT,,Andrew Motuapuaka,LB,"5'11""",241,Fr,Virginia Beach VA
MIAMI,98,Al-Quadin Muhammad,DE,"6'4""",242,So,Irvington NJ
LOU,18,Gerald Christian,TE,"6'3""",242,Sr,Palm Beach Gardens FL
MIAMI,36,Alex Figueroa,LB,"6'3""",242,So,Stafford VA
NCSU,91,Drew Davis,DE,"6'3""",242,So,Raliegh NC
MIAMI,33,Trent Harris,DE,"6'2""",242,Fr,Winter Park FL
MIAMI,52,Denzel Perryman,LB,"6'0""",242,Sr,Coral Gables FL
VT,,Bucky Hodges,TE,"6'6""",243,So,Virginia Beach VA
VT,93,Kalvin Cline,TE,"6'4""",243,So,Boca Raton FL
FSU,,Kain Daub,LB,"6'4""",243,Fr,Jacksonville FL
FSU,21,Chris Casher,DE,"6'4""",243,Fr,Moblie AL
LOU,94,Lorenzo Mauldin,DE,"6'4""",243,Sr,Atlanta GA
VT,87,Dewayne Alford,DE,"6'2""",243,So,Suffolk VA
BC,34,Sean Duggan,LB,"6'4""",244,Sr,Cincinnati OH
FSU,35,Nick O'Leary,TE,"6'3""",244,Sr,Palm Beach Gardens FL
CLEM,97,William Cockerill,TE,"6'6""",245,So,Sumter SC
PITT,84,Brian O'Neill,TE,"6'6""",245,Fr,Wilmington DE
WAKE,45,Zach Gordon,TE,"6'5""",245,So,Carrollton GA
WAKE,52,Logan Feimster,LS,"6'5""",245,Sr,Statesville NC
VT,43,Seth Dooley,DE,"6'5""",245,So,Salem VA
PITT,86,J.P. Holtz,TE,"6'4""",245,Jr,Pittsburgh PA
UVA,86,Jeremy Dollin,TE,"6'4""",245,Sr,Cincinnati OH
PITT,93,Shane Roy,DL,"6'4""",245,Fr,Reading OH
DUKE,56,Kyler Brown,DE,"6'4""",245,Jr,Matthews NC
MIAMI,45,Isai Cetoute,TE,"6'3""",245,Jr,Miami FL
WAKE,81,Daniel Vogelsang,TE,"6'3""",245,Sr,Lexington KY
MIAMI,17,Tyriq McCord,LB,"6'3""",245,Jr,Tampa FL
UNC,23,Darius Lipford,LB,"6'3""",245,Sr,Lenoir NC
MIAMI,97,Dwayne Hoilett,DL,"6'3""",245,So,Vero Beach FL
CLEM,75,Daniel Stone,DE,"6'3""",245,So,Simpsonville SC
UNC,45,Mikey Bart,DE,"6'3""",245,So,Buford GA
VT,4,Ken Ekanem,DE,"6'3""",245,So,Centreville VA
WAKE,95,Shelldon Lewinson,NT,"6'2""",245,So,Seffner AL
CLEM,42,Stephone Anthony,LB,"6'2""",245,Sr,Polkton NC
PITT,47,Matt Galambos,LB,"6'2""",245,So,Collingdale PA
PITT,43,Devon Porchia,LB,"6'2""",245,So,Parkville MD
UNC,42,Shakeel Rashad,LB,"6'2""",245,Jr,Jacksonville FL
DUKE,64,Jake Brodner,G,"6'2""",245,So,Glen Ellyn IL
GT,66,Mitchell Williams,DL,"6'2""",245,Fr,Alpharetta GA
CUSE,42,Jacob Green,TE,"6'1""",245,Jr,Seattle WA
CUSE,32,Travon Burke,FB,"6'1""",245,Sr,Syracuse NY
DUKE,22,Britton Grier,DE,"6'1""",245,Jr,Charlotte NC
PITT,46,Adam Lazenga,FB,"6'0""",245,Sr,Bethel Park PA
WAKE,32,Charles Argenzio,FB,"6'0""",245,So,Richmond VA
CUSE,80,Tyler Provo,TE,"6'0""",246,Fr,West Palm Beach FL
NCSU,96,Scott Thompson,LS,"5'11""",246,Sr,Rancho Santa Margarita CA
FSU,33,Kevin Haplea,TE,"6'4""",247,Sr,Annandale NJ
GT,32,Jabari Hunt-Days,LB,"6'3""",247,Jr,Marietta GA
BC,81,Louie Addazio,TE,"6'3""",248,Jr,Gainesville FL
GT,48,Nick Menocal,DE,"6'3""",248,Sr,Miami FL
VT,,Vinny Mihota,DE,"6'5""",249,Fr,Fredericksburg VA
UVA,89,Rob Burns,TE,"6'7""",250,Jr,Ashburn VA
CLEM,86,Sam Cooper,TE,"6'6""",250,Sr,Brentwood TN
CUSE,87,Kendall Moore,TE,"6'6""",250,So,Chicago IL
WAKE,60,Nick Luedeke,OL,"6'5""",250,Fr,Cary NC
UNC,90,Nazair Jones,DL,"6'5""",250,Fr,Roanoke Rapids NC
LOU,92,Terry Ramsey,DE,"6'5""",250,Fr,Clayton OH
LOU,83,Micky Crum,TE,"6'4""",250,Fr,Columbus OH
NCSU,38,Garrett Bradbury,TE,"6'4""",250,Fr,Charlotte NC
NCSU,43,Evan Pritt,TE,"6'4""",250,Fr,Wilmington NC
UVA,47,Vincent Croce,FB,"6'4""",250,Jr,Olney MD
PITT,90,Hez Trahan,DL,"6'4""",250,Fr,Philadelphia PA
WAKE,40,Josh Banks,DE,"6'4""",250,So,Cary NC
FSU,58,Ryan Arnold,OL,"6'3""",250,Jr,Orlando FL
UVA,43,Trent Corney,DE,"6'3""",250,Jr,Brockville ON
BC,82,Jarrett Darmstatter,TE,"6'2""",250,Sr,Barnegat NJ
PITT,24,James Conner,RB,"6'2""",250,So,Erie PA
FSU,93,Brad Bentz,DL,"6'2""",250,Jr,Wellington FL
CUSE,51,Donnie Simmons,DE,"6'2""",250,Jr,Hartsdale NY
UVA,34,Kwontie Moore,DE,"6'2""",250,Jr,Norfolk VA
BC,93,Kevin Kavalec,DE,"6'3""",251,So,Middleburg Heights OH
GT,99,Tyler Stargel,DE,"6'3""",251,So,Orange Beach AL
NCSU,79,Tyler Smith,DT,"6'2""",251,Jr,Raleigh NC
LOU,59,Aaron Ahner,DT,"6'3""",252,Jr,Okinawa
NCSU,95,Art Norman,DE,"6'0""",252,Sr,Stone Mountain GA
FSU,85,Jeremy Kerr,TE,"6'6""",254,Fr,St. Petersburg FL
MIAMI,88,Jake O'Donnell,TE,"6'7""",255,So,Doylestown PA
MIAMI,85,Beau Sandland,TE,"6'6""",255,Sr,Woodland Hills CA
UVA,49,Zachary Swanson,TE,"6'6""",255,Sr,Katy TX
DUKE,85,Dan Beilinson,TE,"6'5""",255,So,Cary NC
DUKE,80,David Reeves,TE,"6'5""",255,Jr,Greensboro AL
MIAMI,9,Chad Thomas,DE,"6'5""",255,Fr,Miami FL
WAKE,6,Desmond Floyd,DE,"6'5""",255,Jr,Jonesville SC
UNC,95,Tyler Powell,DL,"6'4""",255,Fr,Midlothian VA
BC,46,Joel Rich,TE,"6'3""",255,Fr,Paris OH
CUSE,85,Beckett Wales,TE,"6'3""",255,Sr,Venice FL
UVA,50,Marco Jones,DE,"6'3""",255,Jr,Baltimore MD
CUSE,89,Josh Parris,TE,"6'2""",255,So,Stone Mountain GA
DUKE,51,William Perrott,G,"6'2""",255,Sr,Phoenix AZ
CLEM,,Jabril Robinson,DT,"6'2""",255,Fr,Leland NC
BC,78,Harold Landry,DL,"6'2""",255,Fr,Fayetteville NC
CLEM,1,Ebenezer Ogundeko,DE,"6'2""",255,Fr,Brooklyn NY
PITT,5,Ejuan Price,DL,"6'0""",255,Jr,Rankin PA
VT,49,Dakota Jackson,TE,"6'3""",256,So,Roanoke VA
CUSE,94,Robert Welsh,DE,"6'3""",256,Sr,Bay Shore NY
NCSU,57,Peter Daniel,T,"6'6""",257,Fr,Raleigh NC
VT,,Corey Marshall,DT,"6'1""",257,Sr,Petersburg VA
BC,52,Steven Daniels,LB,"6'0""",257,Jr,Cincinnati OH
CUSE,53,Lucas Albrecht,DT,"6'2""",258,Sr,Hudson Falls NY
LOU,24,Finesse Middleton,DT,"5'11""",259,Fr,Gadsden AL
UNC,67,Caleb Samuel,OL,"6'6""",260,Fr,Macon GA
