Team,Number,Name,Position,Height,Weight,Year,Hometown
VT,59,Eddie D'Antuono,LS,"6'6""",265,So,Alexandria VA
GT,50,Andrew Marshall,OL,"6'4""",265,Fr,Cumming GA
UNC,98,Justin Thomason,DT,"6'4""",265,Jr,McDonough GA
CUSE,93,Micah Robinson,DE,"6'4""",265,Sr,Cleveland OH
WAKE,56,Andrew Hauser,NT,"6'3""",265,Fr,Covina CA
UVA,79,Jack Babcock,DT,"6'3""",265,Fr,Glen Allen VA
NCSU,90,Mike Rose,DE,"6'3""",265,Jr,Simpsonville SC
CUSE,55,Marcus Coleman,DT,"6'1""",266,So,Voorhees NY
NCSU,89,Benson Browne,TE,"6'5""",267,Jr,Cincinnati OH
LOU,64,Gabe Ahner,DT,"6'3""",267,So,Okinawa
LOU,39,Griffin Uhl,FB,"6'2""",267,So,Henryville IN
CUSE,13,Ron Thompson,DE,"6'4""",268,So,Southfield MI
VT,,Andrew Williams,OL,"6'0""",268,Fr,Daleville VA
BC,87,Malachi Moore,DE,"6'7""",269,So,Hackettstown NJ
NCSU,85,Micah Till,TE,"6'6""",270,Fr,Upper Marlboro MD
CLEM,93,Corey Crawford,DE,"6'5""",270,Sr,Columbus GA
UVA,57,Stephen Lawe,DE,"6'5""",270,Sr,Norfolk VA
PITT,70,Connor Hayes,OL,"6'4""",270,Fr,Traverse City MI
DUKE,93,A.J. Wolf,DT,"6'4""",270,So,Greenwich CT
CUSE,91,Isaiah Johnson,DE,"6'4""",270,So,New Castle DE
GT,69,Michael Preddy,OL,"6'3""",270,Fr,Charleston SC
GT,60,Kyle Stallard,OL,"6'3""",270,So,Alpharetta GA
UNC,64,Thomas Bernhardt,OL,"6'3""",270,Fr,Raleigh NC
UNC,38,Carson Wooten,FB,"6'3""",270,So,Raleigh NC
PITT,52,Shakir Soto,DL,"6'3""",270,So,Wilkes-Barre PA
CLEM,90,Shaq Lawson,DE,"6'3""",270,So,Central SC
CLEM,85,Dane Rogers,DE,"6'3""",270,Fr,Shelby NC
UNC,65,Lucas Crowley,C,"6'3""",270,Fr,Ponte Vedra FL
PITT,31,Jaymar Parrish,FB,"6'2""",270,So,Monroeville PA
LOU,93,Tae Thibodeaux,DL,"6'2""",270,Fr,New Iberia LA
UVA,96,Cameron Fitch,DE,"6'2""",270,Sr,Chesapeake VA
VT,92,Kris Harley,DL,"6'1""",270,Jr,Indianapolis IN
GT,91,Patrick Gamble,DL,"6'5""",271,So,Carrollton GA
GT,72,Chris Griffin,OL,"6'6""",272,Fr,Panacea FL
VT,33,Darius Redman,TE,"6'4""",272,Jr,Washington DC
LOU,62,T.C. Klusman,OL,"6'3""",272,So,Cincinnati OH
BC,48,Nick Lifka,DL,"6'2""",272,Jr,Naperville IL
NCSU,86,David Grinnage,TE,"6'5""",273,So,Newark DE
FSU,44,DeMarcus Walker,DE,"6'3""",273,So,Jacksonville FL
VT,63,Laurence Gibson,OL,"6'6""",274,Sr,Sierra Vista AZ
CLEM,79,Isaiah Battle,T,"6'7""",275,Jr,Brooklyn NY
DUKE,76,Gabe Brandner,T,"6'6""",275,Fr,Blythewood SC
UVA,64,Nick Koutris,T,"6'6""",275,Sr,Oakhill VA
WAKE,70,Ryan Anderson,OL,"6'6""",275,Fr,Raleigh NC
LOU,58,Andrew Polston,DT,"6'6""",275,Jr,Louisville KY
WAKE,79,Cameron Gardner,T,"6'5""",275,Fr,Bailey NC
DUKE,53,Kameron Schroeder,OL,"6'5""",275,Fr,Elk Grove CA
UVA,71,Jack McDonald,G,"6'5""",275,Fr,Quincy MA
UNC,49,Jeremiah Clarke,DL,"6'5""",275,Fr,Alexandria VA
CLEM,98,Kevin Dodd,DE,"6'5""",275,Jr,Taylors SC
DUKE,68,Alex Skidmore,G,"6'4""",275,So,Virginia Beach VA
CLEM,9,Tavaris Barnes,DE,"6'4""",275,Sr,Jacksonville FL
UVA,32,Mike Moore,DE,"6'4""",275,Jr,Hyattsville MD
LOU,71,Chris Acosta,OL,"6'3""",275,Sr,Miami FL
NCSU,93,Justin Jones,DT,"6'3""",275,Fr,Austell GA
WAKE,99,James Looney,DE,"6'3""",275,So,Lake Worth FL
UVA,52,Jon Goss,G,"6'2""",275,Sr,Montclair VA
FSU,77,Larry Levy,DT,"6'2""",275,Jr,Boynton Beach FL
PITT,91,Darryl Render,DL,"6'2""",275,Jr,Cleveland OH
LOU,44,Pio Vatuvei,DE,"6'2""",275,Jr,Patterson CA
CUSE,76,Kyle Knapp,G,"6'4""",276,So,Kalamazoo MI
MIAMI,95,David Perry,DL,"6'7""",277,Sr,Pembroke Pines FL
GT,96,Adam Gotsis,DL,"6'5""",277,Jr,Abbotsford
MIAMI,71,Anthony Chickillo,DL,"6'4""",277,Sr,Tampa FL
NCSU,53,Tyler Jones,OL,"6'3""",277,Fr,Stone Mountain GA
LOU,72,Lukayus McNeil,OL,"6'6""",278,Fr,Indianapolis IN
LOU,78,Aaron Epps,T,"6'7""",279,Jr,Tucker GA
GT,98,Jimmie Kitchen,DE,"6'3""",279,Jr,Lithonia GA
NCSU,59,John Tu'uta,C,"6'2""",279,So,Fredricksburg VA
UVA,75,Sadiq Olanrewaju,T,"6'6""",280,So,Gaithersburg MD
FSU,4,Giorgio Newberry,DT,"6'6""",280,So,Fort Pierce FL
WAKE,72,Cody Preble,C,"6'5""",280,Jr,Lake Worth FL
CLEM,76,Shaq Anthony,T,"6'4""",280,Jr,Williamston SC
DUKE,95,Jamal Wallace,DT,"6'4""",280,Sr,Virginia Beach VA
DUKE,63,Zach Harmon,OL,"6'3""",280,Fr,Toledo OH
GT,79,Chase Roberts,OL,"6'3""",280,So,Duluth GA
BC,97,Truman Gutapfel,DT,"6'3""",280,So,Harrison OH
UNC,74,Devonte Brown,DT,"6'3""",280,Jr,Fayetteville NC
PITT,56,Justin Moody,DL,"6'3""",280,Fr,Philadelphia PA
CLEM,58,Ryan Norton,C,"6'3""",280,Jr,Simpsonville SC
CUSE,78,Jason Emerich,C,"6'3""",280,So,New Ringgold PA
PITT,98,LaQuentin Smith,DL,"6'2""",280,Sr,Orlando FL
UVA,58,Chris Brathwaite,DT,"6'1""",280,Sr,Brooklyn NY
GT,97,Shawn Green,DL,"6'0""",280,Sr,Grayson GA
GT,57,Niko Anderson,OL,"6'3""",281,Fr,Macon GA
VT,,Kyle Chung,OL,"6'3""",281,So,Ponte Verda Beach FL
VT,75,Alston Smith,OL,"6'2""",281,So,Virginia Beach VA
NCSU,98,B.J. Hill,DT,"6'4""",283,Fr,Oakboro NC
CUSE,55,Rob Trudo,G,"6'3""",284,Jr,Farrell PA
DUKE,75,Sam Marshall,T,"6'7""",285,Jr,Fredricksburg VA
PITT,62,John Guy,OL,"6'7""",285,So,Somerville MA
UNC,75,Bentley Spain,T,"6'6""",285,Fr,Charlotte NC
UVA,76,Michael Mooney,T,"6'6""",285,So,Malvern PA
MIAMI,47,Ufomba Kamalu,DL,"6'6""",285,Jr,Fayetteville GA
DUKE,71,Casey Blaser,T,"6'5""",285,So,Charlotte NC
NCSU,54,Joe Thuney,G,"6'5""",285,Jr,Centreville IL
WAKE,36,Tylor Harris,DE,"6'4""",285,Jr,Baton Rouge LA
DUKE,50,Austin Davis,C,"6'4""",285,Fr,Mansfield TX
FSU,59,Ryan Hoefeld,OL,"6'3""",285,Fr,Kenner LA
GT,73,Gary Brown,OL,"6'3""",285,Fr,Tampa FL
LOU,56,Chandler Bridges,OL,"6'3""",285,Fr,Flowery Branch GA
MIAMI,68,Nick Linder,OL,"6'3""",285,Fr,Ft. Lauderdale FL
UNC,,Josh Allen,OL,"6'3""",285,Fr,Jacksonville FL
LOU,90,Johnny Richardson,DE,"6'3""",285,Fr,Jacksonville FL
LOU,63,Josh Stearns,OL,"6'1""",285,Jr,Louisville KY
DUKE,91,Jamal Bruce,NT,"6'1""",285,Sr,LaGrange GA
UVA,92,Greg Gallop,DT,"6'1""",285,Sr,Chester VA
FSU,43,Desmond Hollin,DT,"6'4""",286,Sr,Miami FL
BC,50,Frank Taylor,OL,"6'3""",286,So,Warrington PA
NCSU,52,Cole Blankenship,C,"6'2""",286,Fr,Mocksville NC
LOU,11,B.J. Dubose,DT,"6'5""",287,Sr,Oakland Park FL
BC,77,Jon Baker,OL,"6'3""",287,Fr,Millis MA
LOU,98,Sheldon Rankins,DE,"6'2""",287,Jr,Covington GA
BC,99,Brian Mihalik,DL,"6'9""",288,Sr,Avon Lake OH
NCSU,73,Andy Jomantas,T,"6'7""",288,Sr,Dayton OH
BC,74,Dave Bowen,OL,"6'7""",288,Jr,Villanova PA
NCSU,96,Kenton Gibbs,DT,"6'2""",289,Fr,Detroit MI
VT,95,Nigel Williams,DT,"6'2""",289,So,Richmond VA
NCSU,75,T.Y. McGill,DT,"6'1""",289,Sr,Jesup GA
DUKE,78,Sterling Korona,T,"6'7""",290,Fr,San Antonio TX
BC,45,Mehdi Abdesmad,DL,"6'7""",290,Sr,Montreal PQ
DUKE,70,Christian Harris,OL,"6'6""",290,Fr,Suwanee GA
UVA,69,Phillip Berry,OL,"6'6""",290,Fr,Raleigh NC
UNC,77,John Ferranto,T,"6'5""",290,Fr,Burlington NJ
NCSU,76,Eric Shute,OL,"6'5""",290,Fr,Glen Ellyn IL
MIAMI,99,Jelani Hamilton,DL,"6'5""",290,Jr,Fort Lauderdale FL
UVA,67,Jackson Matteo,C,"6'5""",290,So,Ashburn VA
GT,53,Bryan Chamberlain,OL,"6'4""",290,Jr,Albany GA
MIAMI,75,Sean Harvey,OL,"6'4""",290,Sr,Largo FL
UVA,65,Ross Burbank,G,"6'4""",290,Jr,Virginia Beach VA
WAKE,65,Josh T. Harris,G,"6'4""",290,So,Milton GA
CLEM,91,Josh Watson,DT,"6'4""",290,Sr,Wilmington DE
UVA,9,Andrew Brown,DT,"6'4""",290,Fr,Chesapeake VA
WAKE,51,Cory Helms,C,"6'4""",290,So,Alpharetta GA
GT,58,Freddie Burden,OL,"6'3""",290,So,Statesboro GA
CLEM,55,Roderick Byers,DT,"6'3""",290,Jr,Rock Hill SC
UVA,95,Tyrell Chavis,DT,"6'3""",290,Fr,Richmond VA
UNC,62,Mark Uptegraff,OL,"6'2""",290,Fr,Charlotte NC
CLEM,56,Scott Pagano,DT,"6'2""",290,Fr,Honolulu HI
DUKE,98,Carlos Wray,DT,"6'2""",290,Jr,Shelby NC
UVA,55,David Dean,DT,"6'1""",290,Jr,Virginia Beach VA
VT,,Wade Hansen,DT,"6'6""",291,Sr,Troy NY
CUSE,60,Sean Hickey,T,"6'5""",291,Sr,Murrysville PA
LOU,61,Tobijah Hughley,OL,"6'3""",291,So,Lexington KY
VT,92,Luther Maddy,DT,"6'1""",291,Sr,Delray Beach FL
GT,78,Trey Braun,OL,"6'5""",292,Jr,Tallahassee FL
FSU,66,Keith Weeks,OL,"6'4""",292,Fr,Valrico FL
FSU,11,Derrick Mitchell Jr.,DT,"6'4""",292,So,Jacksonville FL
FSU,62,Austin Barron,OL,"6'3""",292,Sr,Fort Lauderdale FL
VT,72,Augie Conte,OL,"6'6""",293,So,Richmond VA
BC,75,Ian Silberman,OL,"6'5""",293,Sr,Orange Park FL
LOU,54,Mike Romano,C,"6'4""",293,Jr,Port St. Lucie FL
NCSU,64,Tylar Reagan,T,"6'5""",294,Fr,Jacksonville FL
FSU,15,Mario Edwards Jr.,DE,"6'3""",294,So,Denton TX
NCSU,72,Patrick Roane,T,"6'7""",295,Fr,Hope Mills NC
MIAMI,54,Hunter Knighton,OL,"6'6""",295,Fr,Pottstown PA
PITT,78,Alex Bookser,OL,"6'6""",295,Fr,Pittsburgh PA
UVA,66,George Adeosun,G,"6'6""",295,Fr,Alpharetta GA
UVA,72,Eric Smith,T,"6'5""",295,So,Decatur GA
UNC,73,Brad Henson,G,"6'5""",295,Fr,Surf City NJ
UNC,72,Kiaro Holts,T,"6'4""",295,So,Indianapolis IN
GT,64,Jake Whitley,OL,"6'4""",295,Fr,North Augusta SC
UNC,68,Jared Cohen,OL,"6'4""",295,Fr,Owings Mills MD
UNC,69,Jonathan Trull,OL,"6'4""",295,Fr,Charlotte NC
VT,68,Marcus Mapp,OL,"6'4""",295,Jr,Painter VA
UNC,54,Will Dancy,G,"6'4""",295,So,Graham NC
UVA,61,Cody Wallace,G,"6'4""",295,Sr,Moorestown NJ
MIAMI,95,Anthony Moten,DL,"6'4""",295,Fr,Ft. Lauderdale FL
DUKE,65,Cody Robinson,G,"6'3""",295,Jr,McMinnville TN
CLEM,94,Carlos Watkins,DT,"6'3""",295,So,Mooresboro NC
UNC,96,Ethan Farmer,DT,"6'3""",295,Jr,Tabor City NC
PITT,76,Connor Dintino,DL,"6'3""",295,Fr,Mashpee MA
DUKE,99,Mike Ramsay,DT,"6'2""",295,Fr,Smyrna GA
NCSU,97,Deshaywn Middleton,DT,"6'2""",295,Fr,Winston-Salem NC
PITT,94,Jeremiah Taleni,DL,"6'2""",295,Fr,Kaneohe HI
CLEM,50,Grady Jarrett,DT,"6'1""",295,Sr,Conyers GA
CLEM,99,DeShawn Williams,DT,"6'1""",295,Sr,Central SC
VT,57,Wyatt Teller,OL,"6'5""",296,Fr,Bealeton VA
MIAMI,62,Shane McDermott,OL,"6'4""",296,Sr,Lake Worth FL
BC,90,Connor Wujciak,DL,"6'3""",296,Jr,West Caldwell NJ
CUSE,68,Nick Robinson,G,"6'5""",297,Jr,Baldwinsville NY
LOU,65,David Noltemeyer,OL,"6'4""",297,Sr,Louisville KY
LOU,95,Kyle Shortridge,DT,"6'3""",297,Fr,Loxahatchee FL
BC,72,Jim Cashman,OL,"6'7""",298,So,Haddonfield NJ
GT,74,Tim Seager,OL,"6'2""",298,Jr,Blacksburg VA
VT,76,David Wang,OL,"6'2""",298,Sr,Ashburn VA
LOU,76,Kelby Johnson,OL,"6'7""",299,Jr,Bowie MD
FSU,65,Ruben Carter,OL,"6'4""",299,So,Miami FL
BC,59,Andy Gallik,C,"6'3""",299,Sr,Evergreen Park IL
WAKE,67,Taylor Chambers,T,"6'8""",300,Fr,Columbia SC
BC,70,Aaron Kramer,OL,"6'7""",300,Sr,Duxbury MA
DUKE,79,Tanner Stone,T,"6'6""",300,So,Dallas TX
NCSU,78,Rob Crisp,T,"6'6""",300,Sr,Raleigh NC
UNC,71,Jon Heck,T,"6'6""",300,Fr,Jacksonville FL
UVA,77,Jay Whitmire,T,"6'6""",300,Jr,Alexandria VA
WAKE,71,Hunter Goodwin,T,"6'6""",300,Jr,Baltimore MD
WAKE,76,Joel Suggs,T,"6'6""",300,So,Sophia NC
BC,67,Seth Betancourt,OL,"6'6""",300,Sr,Riverside NJ
BC,71,Dan Lembke,OL,"6'6""",300,Jr,Orland Park IL
UNC,63,Harris Hite,OL,"6'6""",300,So,Apex NC
UVA,62,Sean Karl,G,"6'6""",300,Fr,Manorville NY
BC,69,Paul Gaughan,C,"6'6""",300,Jr,Dunmore PA
UVA,68,Eric Tetlow,C,"6'6""",300,So,Richmond VA
CLEM,73,Joe Gore,T,"6'5""",300,Jr,Lake Waccamaw NC
UVA,64,Jake Fieler,T,"6'5""",300,Fr,Parkersburg WV
WAKE,77,Will Smith,T,"6'5""",300,So,Charlotte NC
CLEM,,Justin Falcinelli,OL,"6'5""",300,Fr,Middletown MD
DUKE,74,Trip McNeil,OL,"6'5""",300,Fr,Advance NC
PITT,53,Dorian Johnson,OL,"6'5""",300,So,Belle Vernon PA
UNC,70,Caleb Peterson,G,"6'5""",300,Fr,Auburn AL
UVA,74,Conner Davis,G,"6'5""",300,Sr,Henrico VA
WAKE,66,Rocco Esposito,G,"6'5""",300,Fr,Coraopolis PA
CLEM,69,Maverick Morris,T,"6'4""",300,Fr,Douglas GA
DUKE,52,Marcus Aprahamian,G,"6'4""",300,Jr,Brookfield WI
CLEM,51,Harrison Tucker,OL,"6'3""",300,Jr,Ninety Six SC
CLEM,77,Reid Webster,OL,"6'3""",300,Sr,Woodstock GA
GT,76,Nick Brigham,OL,"6'3""",300,So,Atlanta GA
DUKE,92,Edgar Cerenord,DT,"6'1""",300,Fr,Miami FL
NCSU,60,Quinton Schooley,C,"6'4""",301,Jr,Chanute KS
LOU,73,Pedro Sibiea,DT,"6'3""",301,So,Homestead FL
FSU,75,Cameron Erving,OL,"6'6""",302,Jr,Moultrie GA
VT,55,Brent Benedict,OL,"6'5""",302,Sr,Jacksonville FL
VT,75,Adam Taraschke,OL,"6'5""",302,So,Fredricksburg VA
MIAMI,90,Corey King,DL,"6'1""",302,Jr,Boca Raton FL
CUSE,65,Jamar McGloster,T,"6'7""",303,Fr,Hillside NJ
GT,92,Francis Kallon,DL,"6'5""",303,So,Lawrenceville FL
BC,64,Harris Williams,OL,"6'3""",303,Sr,Lynn MA
VT,79,Caleb Farris,OL,"6'3""",303,Sr,Lexington VA
NCSU,65,Joey Buccola,T,"6'1""",303,Sr,Raleigh NC
MIAMI,67,Alex Gall,OL,"6'5""",304,So,Mason OH
MIAMI,72,Earl Moore,DL,"6'1""",304,Jr,Tampa FL
PITT,69,Adam Bisnowaty,OL,"6'6""",305,So,Pittsburgh PA
DUKE,66,Carson Ginn,G,"6'6""",305,Jr,Belmont NC
PITT,71,Gabe Roberts,OL,"6'5""",305,So,New London WI
CLEM,78,Eric Mac Lain,OL,"6'4""",305,Jr,Hope Mills NC
DUKE,67,Lucas Patrick,G,"6'4""",305,Jr,Brentwood TN
MIAMI,91,Olsen Pierre,DL,"6'4""",305,Sr,Rahway NJ
DUKE,62,Matt Skura,C,"6'4""",305,Jr,Columbus OH
CLEM,,Taylor Hearn,OL,"6'3""",305,Fr,Williston SC
GT,94,Darius Commissiong,DL,"6'3""",305,Fr,Forestville MD
DUKE,97,Quaven Ferguson,DT,"6'2""",305,Fr,Easley SC
UVA,93,Donte Wilkins,DT,"6'2""",305,So,Woodbridge VA
GT,70,Shaquille Mason,OL,"6'1""",305,Sr,Columbia TN
UNC,97,Shawn Underwood,DT,"6'1""",305,Sr,Fuquay-Varina NC
CUSE,52,Eric Crume,NT,"6'0""",305,Sr,Detroit MI
BC,76,Bobby Vardaro,OL,"6'5""",306,Sr,North Reading MA
VT,74,Braxton Pfaff,OL,"6'5""",307,Fr,Lynchburg VA
GT,75,Errin Joe,OL,"6'3""",307,Jr,Lakeland FL
NCSU,66,Will Richardson,T,"6'6""",308,Fr,Burlington NC
FSU,76,Marcel Benalcazar,OL,"6'6""",308,So,Miramar FL
GT,77,Thomas O'Reilly,OL,"6'3""",308,Jr,Marietta GA
FSU,95,Keith Bryant,DT,"6'2""",308,Fr,Delray Beach FL
CUSE,56,John Miller,C,"6'2""",308,Jr,Carson CA
NCSU,69,Thomas Teal,DT,"6'1""",308,Sr,Bennettsville SC
FSU,78,Wilson Bell,OL,"6'4""",309,Fr,Prichard AL
CUSE,57,Omari Palmer,G,"6'2""",309,So,Coram NY
UNC,76,R.J. Prince,T,"6'6""",310,Fr,Albemarle NC
UNC,66,Myers Colvin,T,"6'5""",310,So,Fayetteville NC
WAKE,63,Dylan Intemann,T,"6'5""",310,Jr,Wake Forest NC
PITT,60,Aaron Reese,OL,"6'5""",310,Fr,Chambersburg PA
UVA,63,Ryan Doull,G,"6'5""",310,So,Kanata ON
DUKE,73,Takoby Cofield,T,"6'4""",310,Sr,Tarboro NC
CUSE,75,Wayne Williams,NT,"6'4""",310,Jr,Brooklyn NY
UNC,79,J.J. Patterson,G,"6'4""",310,Fr,Roanoke Rapids NC
WAKE,59,Antonio Ford,G,"6'4""",310,Sr,Pahokee FL
WAKE,78,Tyler Hayworth,G,"6'4""",310,So,Kingsport TN
NCSU,56,Bryce Kennedy,G,"6'3""",310,So,Southern Pines NC
MIAMI,93,Calvin Heurtelou,DL,"6'3""",310,Jr,Spring Valley NY
UVA,60,John Pond,C,"6'3""",310,Jr,Chester VA
FSU,61,Myles Davis,OL,"6'2""",310,Fr,Gainesville FL
UNC,58,Greg Webb,DT,"6'2""",310,Fr,Erial NJ
PITT,95,Khaynin Mosley-Smith,DL,"6'0""",310,Jr,Pittsburgh PA
VT,69,Mark Shuman,OL,"6'7""",312,Sr,Fork Union VA
MIAMI,64,Hunter Wells,OL,"6'6""",312,Jr,Canton IL
LOU,53,Jake Smith,OL,"6'4""",312,Sr,Jacksonville AL
CUSE,72,Ivan Foy,G,"6'4""",313,Jr,Brooklyn NY
VT,62,Ross Ward,OL,"6'3""",313,Jr,Virginia Beach VA
NCSU,94,Monty Nelson,DT,"6'2""",313,So,Plantation FL
MIAMI,52,KC McDermott,OL,"6'6""",314,Fr,Wellington FL
VT,71,Jonathan McLaughlin,OL,"6'4""",314,So,Mauldin SC
FSU,90,Eddie Goldman,DT,"6'4""",314,Jr,Washington DC
PITT,68,T.J. Clemmings,OL,"6'6""",315,Sr,Teaneck NJ
WAKE,68,Colin Summers,T,"6'5""",315,Sr,Raleigh NC
GT,,Zack Harness,OL,"6'3""",315,Fr,Senoia GA
CLEM,57,Jay Guillermo,C,"6'3""",315,So,Maryville TN
PITT,57,Artie Rowell,OL,"6'2""",315,Jr,Harrisburg PA
CUSE,71,Alex Hayes,G,"6'2""",315,Fr,Ellenwood GA
MIAMI,76,Taylor Gadbois,OL,"6'8""",316,So,Dallas GA
MIAMI,63,Danny Isidora,OL,"6'4""",316,So,Weston FL
CUSE,73,Jon Burton,T,"6'6""",317,Fr,Spotsylvania VA
NCSU,50,Tony Adams,C,"6'2""",317,Fr,Charlotte NC
FSU,51,Bobby Hart,OL,"6'4""",318,Sr,Lauderhill FL
LOU,97,DeAngelo Brown,DT,"6'1""",318,Jr,Savannah GA
LOU,74,Ryan Mack,OL,"6'5""",319,Jr,Memphis TN
FSU,99,Nile Lawrence-Stample,DT,"6'1""",319,So,Fort Lauderdale FL
LOU,75,Skylar Lacy,OL,"6'6""",320,So,Indianapolis IN
MIAMI,70,Jon Feliciano,OL,"6'5""",320,Sr,Davie FL
CLEM,68,David Beasley,G,"6'4""",320,Sr,Columbus GA
UNC,78,Landon Turner,G,"6'4""",320,So,Harrisonburg VA
MIAMI,55,Joe Brown,DT,"6'4""",320,Fr,Paramount CA
PITT,66,Mike Herndon,DL,"6'4""",320,Fr,Greenville VA
CUSE,67,Michael Lasker,T,"6'3""",320,Jr,Corona CA
MIAMI,92,Courtel Jenkins,DL,"6'1""",320,Fr,Wayne NJ
VT,67,Parker Osterloh,OL,"6'8""",321,Fr,Williamsburg VA
LOU,70,John Miller,OL,"6'2""",321,Sr,Miami FL
NCSU,71,Alex Barr,G,"6'7""",322,Jr,Fayetteville GA
MIAMI,74,Ereck Flowers,OL,"6'6""",322,Jr,Miami FL
FSU,92,Justin Shanks,DT,"6'2""",322,Fr,Prattville AL
CUSE,50,John Raymon,NT,"6'5""",323,Jr,Richboro PA
MIAMI,66,Sunny Odogwu,OL,"6'8""",324,Fr,Baltimore MD
PITT,50,Mike Grimm,OL,"6'6""",325,Fr,Bethel Park PA
CLEM,65,Oliver Jones,OL,"6'5""",325,So,Ninety Six SC
CLEM,48,D.J. Reader,DT,"6'2""",325,Jr,Greensboro NC
LOU,60,Joe Manley,OL,"6'6""",326,So,Bowling Green KY
CUSE,99,Ryan Sloan,DT,"6'2""",326,Jr,East Patchogue NY
CUSE,70,Jesse Wolf-Gould,G,"6'4""",328,Sr,Oneonta NY
DUKE,72,Jake Sanders,OL,"6'5""",330,Fr,Carrollton GA
MIAMI,73,Trevor Darling,OL,"6'5""",330,Fr,Miami FL
PITT,72,Carson Baker,OL,"6'5""",330,Fr,Fairborn OH
LOU,7,Jamaine Brooks,DT,"6'4""",330,Sr,Miami FL
MIAMI,11,Michael Wyche,DT,"6'4""",330,Jr,Norfolk VA
DUKE,77,Laken Tomlinson,G,"6'3""",330,Sr,Chicago IL
FSU,70,Josue Matias,OL,"6'6""",331,Jr,Union City NJ
PITT,75,Jaryd Jones-Smith,OL,"6'7""",335,Fr,Voorhees NJ
FSU,72,Kareem Are,OL,"6'6""",335,Jr,Floral Park NY
PITT,74,Matt Rotheram,OL,"6'6""",335,Sr,North Olmstead OH
PITT,63,Alex Officer,OL,"6'4""",335,Fr,Rochester NY
PITT,54,Tyrique Jarrett,DL,"6'3""",335,So,Pittsburgh PA
LOU,68,Danny Burns,OL,"6'6""",339,Fr,Hamilton OH
FSU,54,Tre' Jackson,OL,"6'4""",339,Sr,Jesup GA
UNC,57,Schuyler Coleman,T,"6'6""",340,Fr,Charlotte NC
CLEM,67,Kalon Davis,G,"6'5""",340,Sr,Chester SC
CLEM,72,Jerome Maybank,G,"6'4""",345,Jr,Pawleys Island SC
CLEM,55,Tyrone Crowder Jr.,G,"6'2""",345,Fr,Rockingham NC
NCSU,61,Ali Kassem,G,"6'7""",347,Sr,Cincinnati OH
LOU,77,Abraham Garcia,OL,"6'5""",347,Jr,Fort Lauderdale FL
NCSU,70,Terronne Prescod,G,"6'4""",347,Fr,Decatur GA
LOU,79,Jamon Brown,T,"6'6""",350,Sr,Fern Creek KY
LOU,69,Jimmie Terry,OL,"6'4""",350,Fr,Madison MS
CLEM,74,Spencer Region,G,"6'4""",350,Jr,Cullman AL
NCSU,74,Tyson Chandler,T,"6'7""",354,Sr,North Plainfield NJ
GT,71,Shamire Devine,OL,"6'7""",355,Fr,Atlanta GA
